sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,length,width,height,weight,price,special_price,special_price_from,special_price_to,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,tax_status,tax_category_id,global_unique_id,cases_in_stock,custom_product_subtitle,pack_quantity,low_stock_amount,pmp_or_not,max_order,por_percentage,product_size,prom_id,prom_start,promo_end,total_sales,rrp_price,outer_pack_size,shipping_class,configurable_variants
903991,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,KITKAT 4 FINGER MILK 3PK PM£1.50,KITKAT 4 FINGER MILK 3PK PM£1.50,KITKAT 4 FINGER MILK 3PK PM£1.50,1,1,,,,10,20.49,,,,kitkat-4-finger-milk-3pk-pmps150-903991,,,,1,default=5,,,,19,1,,5,20x41.5G,,,PMP,,18.04,,,,,,1.5,,No Shipping class,
903992,,en,variant_family,simple,HOT DRINKS/COFFEE,,NESCAFE GOLD BLEND PM£4.79,NESCAFE GOLD BLEND PM£4.79,NESCAFE GOLD BLEND PM£4.79,1,1,,,,10,19.99,19.39,2025-05-05,2025-11-05,nescafe-gold-blend-pmps479-903992,,,,1,default=11,,,,19,3,,11,6x95G,,,PMP,,30.45,,2025 WEEK 18 PROMOTION,2025-05-05,2025-11-05,,4.79,,No Shipping class,
80300,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,KITKAT PEANUT BUTTER £75P,KITKAT PEANUT BUTTER £75P,KITKAT PEANUT BUTTER £75P,1,1,,,,10,10.49,,,,kitkat-peanut-butter-ps75p-80300,,,,1,default=3,,,,19,1,,3,24X42GRM,,,PMP,,30.07,,,,,,0.75,,No Shipping class,
80333,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,KIT KAT CHUNKY ORIGINAL BAR,KIT KAT CHUNKY ORIGINAL BAR,KIT KAT CHUNKY ORIGINAL BAR,1,1,,,,10,10.49,,,,kit-kat-chunky-original-bar-80333,,,,1,default=1,,,,19,1,,1,24X40GRM,,,PLAIN,,41.72,,,,,,0.9,,No Shipping class,
134604,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,KIT KAT CHUNKY MILK PM75P,KIT KAT CHUNKY MILK PM75P,KIT KAT CHUNKY MILK PM75P,1,1,,,,10,10.69,8.59,2025-05-05,2025-11-05,kit-kat-chunky-milk-pm75p-134604,,,,1,default=14,,,,19,1,,14,24X40G,,,PMP,,28.73,,2025 WEEK 18 PROMOTION,2025-05-05,2025-11-05,,0.75,,No Shipping class,
48777,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,KIT KAT CHUNKY DUO,KIT KAT CHUNKY DUO,KIT KAT CHUNKY DUO,1,1,,,,10,16.99,,,,kit-kat-chunky-duo-48777,,,,1,default=6,,,,19,1,,6,24X64G,,,PLAIN,,22.77,,,,,,1.1,,No Shipping class,
134825,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,AERO BUBBLY MILK CHOCOLATE BAR,AERO BUBBLY MILK CHOCOLATE BAR,AERO BUBBLY MILK CHOCOLATE BAR,1,1,,,,10,13.49,,,,aero-bubbly-milk-chocolate-bar-134825,,,,1,default=1,,,,19,1,,1,24X36GRM,,,PLAIN,,31.87,,,,,,0.99,,No Shipping class,
15302,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,MILKYBAR BUTTONS GOLD POUCH,MILKYBAR BUTTONS GOLD POUCH,MILKYBAR BUTTONS GOLD POUCH,1,1,,,,10,12.49,,,,milkybar-buttons-gold-pouch-15302,,,,1,default=3,,,,19,1,,3,11x86G,,,PLAIN,,22.14,,,,,,1.75,,No Shipping class,
15101,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,ROWNTREES HANG BAG FRUIT GUMS PM£1.25,ROWNTREES HANG BAG FRUIT GUMS PM£1.25,ROWNTREES HANG BAG FRUIT GUMS PM£1.25,1,1,,,,10,7.09,,,,rowntrees-hang-bag-fruit-gums-pmps125-15101,,,,1,default=6,,,,19,1,,6,10X120G,,,PMP,,31.94,,,,,,1.25,,No Shipping class,
15102,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,ROWNTREES MIXED VEGAN PM£1.25,ROWNTREES MIXED VEGAN PM£1.25,ROWNTREES MIXED VEGAN PM£1.25,1,1,,,,10,7.09,,,,rowntrees-mixed-vegan-pmps125-15102,,,,1,default=6,,,,19,1,,6,10X120G,,,PMP,,31.94,,,,,,1.25,,No Shipping class,
15103,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,ROWNTREES FRUIT PASTILLES PM£1.25,ROWNTREES FRUIT PASTILLES PM£1.25,ROWNTREES FRUIT PASTILLES PM£1.25,1,1,,,,10,7.59,,,,rowntrees-fruit-pastilles-pmps125-15103,,,,1,default=4,,,,19,1,,4,10x120G,,,PMP,,27.14,,,,,,1.25,,No Shipping class,
15104,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,ROWNTREES RANDOMS PM£1.25,ROWNTREES RANDOMS PM£1.25,ROWNTREES RANDOMS PM£1.25,1,1,,,,10,7.09,,,,rowntrees-randoms-pmps125-15104,,,,1,default=3,,,,19,1,,3,10X120G,,,PMP,,31.94,,,,,,1.25,,No Shipping class,
