"sku","parent_sku","locale","attribute_family_code","type","categories","images","name","description","short_description","status","visible_individually","length","width","height","weight","price","special_price","special_price_from","special_price_to","url_key","meta_title","meta_keywords","meta_description","manage_stock","inventories","related_skus","cross_sell_skus","up_sell_skus","tax_status","tax_category_id","global_unique_id","cases_in_stock","custom_product_subtitle","pack_quantity","low_stock_amount","pmp_or_not","max_order","por_percentage","product_size","prom_id","prom_start","promo_end","total_sales","rrp_price","outer_pack_size","shipping_class","configurable_variants","priority","errors"
"114423","","en","variant_family","configurable","SPIRITS/RUM","0","WRAY AND NEPHEW OVERPROOF RUM","WRAY AND NEPHEW OVERPROOF RUM","WRAY AND NEPHEW OVERPROOF RUM","1","1","","","","0","0","0","01/09/2025","07/09/2025","wray-and-nephew-overproof-rum-114423","","","","388","0","","","","0","0","","38","12x5CL","","","PLAIN","0","26.59","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","3.99","","No Shipping class","sku=114423a,pack_size=Pack 1|sku=114423c,pack_size=Pack 2","289","The special price field must be less than 0."
"19622","","en","variant_family","configurable","SPIRITS/WHISKY","19622.webp","JAMESON WHISKEY","JAMESON WHISKEY","JAMESON WHISKEY","1","1","","","","0","0","0","01/09/2025","07/09/2025","jameson-whiskey-19622","","","","197","0","","","","0","0","","32","1x70CL","","","PLAIN","0","27.56","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","25.99","","No Shipping class","sku=19622a,pack_size=Pack 1|sku=19622c,pack_size=Pack 2","290","The special price field must be less than 0."
"70080","","en","variant_family","configurable","SPIRITS/VODKA","70080.webp","ABSOLUT VODKA BLUE","ABSOLUT VODKA BLUE","ABSOLUT VODKA BLUE","1","1","","","","0","0","0","01/09/2025","07/09/2025","absolut-vodka-blue-70080","","","","89","0","","","","0","0","","14","1x70CL","","","PLAIN","0","20.85","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","19.39","","No Shipping class","sku=70080a,pack_size=Pack 1|sku=70080c,pack_size=Pack 2","291","The special price field must be less than 0."
"19520","","en","variant_family","configurable","SPIRITS/BRANDY & COGNAC","19520.webp","MARTELL COGNAC VS","MARTELL COGNAC VS","MARTELL COGNAC VS","1","1","","","","0","0","0","01/09/2025","07/09/2025","martell-cognac-vs-19520","","","","63","0","","","","0","0","","10","1x70CL","","","PLAIN","0","20.14","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","31.99","","No Shipping class","sku=19520a,pack_size=Pack 1|sku=19520c,pack_size=Pack 2","292","The special price field must be less than 0."
"28781","","en","variant_family","simple","WINE/RED WINE","28781.webp","BRANCOTT MERLOT","BRANCOTT MERLOT","BRANCOTT MERLOT","1","1","","","","10","40.05","0","01/09/2025","07/09/2025","brancott-merlot-28781","","","","7","default=7","","","","19","1","","7","6x75CL","","","PLAIN","0","21.89","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","10.29","","No Shipping class","0","293",""
"11394","","en","variant_family","simple","WINE/RED WINE","11394.webp","JACOBS CREEK SHIRAZ","JACOBS CREEK SHIRAZ","JACOBS CREEK SHIRAZ","1","1","","","","10","32.99","0","01/09/2025","07/09/2025","jacobs-creek-shiraz-11394","","","","9","default=12","","","","19","1","","9","6x75CL","","","PLAIN","0","24.38","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","8.99","","No Shipping class","0","294",""
"204126","","en","variant_family","simple","WINE/WHITE WINE","204126.webp","JACOBS CREEK CHARDONNAY","JACOBS CREEK CHARDONNAY","JACOBS CREEK CHARDONNAY","1","1","","","","10","32.99","0","01/09/2025","07/09/2025","jacobs-creek-chardonnay-204126","","","","10","default=15","","","","19","1","","10","6x75CL","","","PLAIN","0","24.38","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","8.99","","No Shipping class","0","295",""
"18467","","en","variant_family","simple","WINE/RED WINE","18467.webp","JACOBS CREEK MERLOT","JACOBS CREEK MERLOT","JACOBS CREEK MERLOT","1","1","","","","10","32.99","0","01/09/2025","07/09/2025","jacobs-creek-merlot-18467","","","","7","default=9","","","","19","1","","7","6x75CL","","","PLAIN","0","24.38","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","8.99","","No Shipping class","0","296",""
"64490","","en","variant_family","simple","TOBACCO & VAPES/CIGARETTE PAPERS & LIGHTERS","0","PRICES LIGHTING TAPERS","PRICES LIGHTING TAPERS","PRICES LIGHTING TAPERS","1","1","","","","10","4.49","0","01/09/2025","07/09/2025","prices-lighting-tapers-64490","","","","17","default=17","","","","19","1","","17","1x200GRM","","","PLAIN","0","10.05","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","5.99","","No Shipping class","0","297",""
"200156","","en","variant_family","configurable","NON-FOOD AND STATIONERY/FOOD & DRINK DISPOSABLE","200156.webp","CATERPACK HOT CUPS 50S 01157","CATERPACK HOT CUPS 50S 01157","CATERPACK HOT CUPS 50S 01157","1","1","","","","0","0","0","01/09/2025","07/09/2025","caterpack-hot-cups-50s-01157-200156","","","","69","0","","","","0","0","","3","1x12oz","","","PLAIN","0","28.1","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","4.99","","No Shipping class","sku=200156a,pack_size=Pack 1|sku=200156c,pack_size=Pack 2","298","The special price field must be less than 0."
