item,VAT,hierarchy1,hierarchy2,description,,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Retail Ean 1,Retail Ean 2,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type,Brand,Size,Clearance stock in  number,Clerance pack size,Clearance Price,Product pack 1 in layer,Product pack 1 in Pallet,Product location in warehouse,Product pack 1 weight,Product pack 1 dimansion in cm,Product pack 1 volumetric weight
901859,A,7,7004,ELF BAR AF5000 LEMON LIME,,5X20MG,23,23,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
902260,A,7,7004,***LOST MARY BM600 BLUE RAZZ ICE,,10x20MG,14,14,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
902263,A,7,7004,***LOST MARY BM600 BLUERAZZ CHERRY,,10x20MG,30,30,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
902413,A,7,7004,***ELF BAR 600 BLUE RAZZ LEMONADE,,10x20MG,2,2,,,,,,,17.99,,,,,,,,,,,,,,,4.99,56.74,PLAIN,SINGLE,,,,,,,,,,,
902414,A,7,7004,***ELF BAR 600 COLA,,10x20MG,5,5,,,,,,,17.99,,,,,,,,,,,,,,,4.99,56.74,PLAIN,SINGLE,,,,,,,,,,,
902415,A,7,7004,***ELF BAR 600 LEMON LIME,,10x20MG,28,28,,,,,,,17.99,,,,,,,,,,,,,,,4.99,56.74,PLAIN,SINGLE,,,,,,,,,,,
902418,A,7,7004,SKE CRYSTAL BAR BULL ICE,,10x20MG,22,22,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
902421,A,7,7004,SKE CRYSTAL BAR VMT ICE,,10x20MG,37,37,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
902452,A,7,7004,IVG 2400 JUICY EDITION,,5X20MG,22,22,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
902455,A,7,7004,IVG 2400 PINAPLE ICE,,5X20 MG,7,7,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
902456,A,7,7004,IVG 2400 FIZZY CHERRY,,5X20MG,5,5,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
902457,A,7,7004,IVG 2400 PINK EDITION,,5x20MG,5,5,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
902458,A,7,7004,IVG 2400 YELLOW EDITION,,5X20MG,4,4,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
902459,A,7,7004,IVG 2400 SUMMER EDITION,,5X20MG,6,6,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
902460,A,7,7004,***LOST MARY BM600 MAD BLUE,,10x20MG,15,15,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
902492,A,7,7004,SKE CRYSTAL BAR STRAWBERY GRAPEFRUIT,,10x20MG,28,28,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
902493,A,7,7004,SKE CRYSTAL BAR GREEN GRAPE,,10x20MG,7,7,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
902571,A,7,7004,ELF BAR AF5000 STRAWBERRY RASPBERRY CHERRY ICE,,5X20MG,18,18,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
902572,A,7,7004,ELF BAR AF5000 PINEAPPLE MOJITO,,5X20MG,12,12,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
902659,A,7,7004,SKE CRYSTAL FRUIT MEDLEY(RAINBOW),,10x20MG,12,12,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
902926,A,7,7004,ELF BAR AF5000 STRAWBERRY ICE,,5x20MG,14,14,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
902979,A,7,7006,PABLO PASSION FRUIT NICOTIN POUCH,,10x50MG,9,9,,,,,,,18.39,,,,,,,,,,,,,,,2.99,26.19,PLAIN,SINGLE,,,,,,,,,,,
902982,A,7,7006,VELO STRAWBERRY ICE POUCHES,,5X10MG,2,2,,,,,,,15.99,,,,,,,,,,,,,,,7.99,51.97,PLAIN,SINGLE,,,,,,,,,,,
902983,A,7,7004,VELO FREEZING PEPPERMINT POUCHES,,10X14MG,3,3,,,,,,,29.99,,,,,,,,,,,,,,,6.5,44.63,PLAIN,SINGLE,,,,,,,,,,,
902990,A,7,7006,VELO COOLING STROM POUCHES,,10X10.9MG,1,1,,,,,,,29.99,,,,,,,,,,,,,,,6.5,44.63,PLAIN,SINGLE,,,,,,,,,,,
903001,A,7,7006,VELO PEPPERMINT STROM POUCH,,5X14MG,3,3,,,,,,,15.99,,,,,,,,,,,,,,,7.99,51.97,PLAIN,SINGLE,,,,,,,,,,,
903002,A,7,7006,VELO BRIGHT SPEARMINT POUCH,,10x10MG,5,5,,,,,,,29.99,,,,,,,,,,,,,,,6.5,44.63,PLAIN,SINGLE,,,,,,,,,,,
